2022-04-19 09:31:49.954 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2022-04-13 00:00:00', 'endTime': '2022-04-14 00:00:00'}
2022-04-19 09:31:49.955 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-19 09:31:49.955 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.307036
2022-04-19 09:31:49.955 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-19 09:31:49.955 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:31:49.955 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-19 09:31:50.212 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '2020-04-13 00:00:00', 'endTime': '2025-04-14 00:00:00'}
2022-04-19 09:31:50.212 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-19 09:31:50.213 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.15272
2022-04-19 09:31:50.213 | INFO     | common.unittestMain:req_assert:78 - busicode与预期一致为：0
2022-04-19 09:31:50.213 | INFO     | common.unittestMain:req_assert:80 - msg与预期一致
2022-04-19 09:31:50.213 | INFO     | common.unittestMain:assert_data:87 - 响应内容与预期一致
2022-04-19 09:31:50.411 | DEBUG    | common.unittestMain:req_assert:72 - 本次执行的测试用例请求内容为：{'startTime': '', 'endTime': '2025-04-14 00:00:00'}
2022-04-19 09:31:50.411 | DEBUG    | common.unittestMain:req_assert:73 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-19 09:31:50.411 | INFO     | common.unittestMain:req_assert:76 - 接口响应时间为：0.104424
