2022-04-20 14:18:16.489 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'phone': '13698765432', 'searchStr': '13698765432'}
2022-04-20 14:18:16.489 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"levenType":"终端门诊","count":0,"leven":4}]}
2022-04-20 14:18:16.489 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.149981
2022-04-20 14:18:16.490 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 14:18:16.490 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 14:18:16.490 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 14:18:16.717 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'phone': '13622223661', 'searchStr': '1'}
2022-04-20 14:18:16.717 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"levenType":"终端门诊","count":0,"leven":4}]}
2022-04-20 14:18:16.717 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.139816
2022-04-20 14:18:16.717 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 14:18:16.717 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 14:18:16.717 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 14:18:16.962 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'phone': '0', 'searchStr': '0'}
2022-04-20 14:18:16.962 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[{"levenType":"终端门诊","count":0,"leven":4}]}
2022-04-20 14:18:16.962 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.154036
2022-04-20 14:18:16.962 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 14:18:16.962 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 14:18:16.963 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 14:18:18.209 | SUCCESS  | utils.mysql_res:update_sql:104 - --------------------------------------------------更新成功--------------------------------------------------
