2022-04-20 16:48:25.332 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-19 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:48:25.333 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 16:48:25.333 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.115293
2022-04-20 16:48:25.333 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:48:25.333 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:25.333 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:48:25.553 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2022-04-01 00:00:00', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:48:25.553 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":[]}
2022-04-20 16:48:25.553 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.113496
2022-04-20 16:48:25.553 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:48:25.553 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:25.553 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:48:25.723 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '', 'startTime': '2000-04-11 00:00:00'}
2022-04-20 16:48:25.723 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"endTime：结束时间不能为空","data":null}
2022-04-20 16:48:25.723 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.08635
2022-04-20 16:48:25.723 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:48:25.723 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:25.723 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:48:25.934 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '2000-04-11 00:00:00', 'startTime': ''}
2022-04-20 16:48:25.934 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 16:48:25.935 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.136342
2022-04-20 16:48:25.935 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:48:25.935 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:25.935 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:48:26.092 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'endTime': '1', 'startTime': ''}
2022-04-20 16:48:26.092 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"startTime：开始时间不能为空","data":null}
2022-04-20 16:48:26.092 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.079043
2022-04-20 16:48:26.093 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 16:48:26.093 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:26.093 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 16:48:26.292 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'day'}
2022-04-20 16:48:26.292 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.04.19","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.04.18","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:48:26.292 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.113482
2022-04-20 16:48:26.292 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:48:26.293 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:26.293 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:48:26.508 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'week'}
2022-04-20 16:48:26.509 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.04.11-2022.04.17","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.04.04-2022.04.10","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:48:26.509 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.125221
2022-04-20 16:48:26.509 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 16:48:26.509 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 16:48:26.509 | INFO     | common.unittestMain:assert_data:96 - 响应内容与预期一致
2022-04-20 16:48:26.724 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'period': 'month'}
2022-04-20 16:48:26.724 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":{"agentDetail":[{"staticDateSegment":"2022.03.01-2022.03.31","totalAgentNum":0,"newAgentNum":0},{"staticDateSegment":"2022.02.01-2022.02.28","totalAgentNum":0,"newAgentNum":0}],"increaseTotalAgentNum":0,"increaseAgentNum":0,"increaseAgentRatio":0.00,"increaseTotalAgentRatio":0.00}}
2022-04-20 16:48:26.724 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.128359
